2024-08-28 08:42:59, Temp: 25C, Humidity: 48%
2024-08-28 08:43:17, Temp: 27C, Humidity: 49%
2024-08-28 08:43:19, Temp: 25C, Humidity: 46%
2024-08-28 08:43:22, Temp: 25C, Humidity: 45%
2024-08-28 08:43:24, Temp: 25C, Humidity: 45%
2024-08-28 08:43:26, Temp: 25C, Humidity: 44%
2024-08-28 08:43:29, Temp: 25C, Humidity: 44%
2024-08-28 08:43:31, Temp: 25C, Humidity: 44%
2024-08-28 08:43:33, Temp: 25C, Humidity: 44%
2024-08-28 08:43:36, Temp: 25C, Humidity: 44%
2024-08-28 08:43:38, Temp: 25C, Humidity: 43%
2024-08-28 08:43:41, Temp: 25C, Humidity: 43%
2024-08-28 08:43:43, Temp: 25C, Humidity: 43%
2024-08-28 08:43:45, Temp: 25C, Humidity: 43%
2024-08-28 08:43:48, Temp: 25C, Humidity: 43%
2024-08-28 08:43:50, Temp: 25C, Humidity: 44%
2024-08-28 08:43:53, Temp: 25C, Humidity: 44%
2024-08-28 08:43:55, Temp: 25C, Humidity: 44%
2024-08-28 08:43:57, Temp: 25C, Humidity: 44%
2024-08-28 08:44:00, Temp: 25C, Humidity: 43%
2024-08-28 08:44:02, Temp: 25C, Humidity: 43%
2024-08-28 08:44:04, Temp: 25C, Humidity: 43%
2024-08-28 08:44:07, Temp: 25C, Humidity: 43%
2024-08-28 08:44:09, Temp: 25C, Humidity: 43%
2024-08-28 08:44:12, Temp: 25C, Humidity: 43%
2024-08-28 08:44:14, Temp: 25C, Humidity: 43%
2024-08-28 08:44:16, Temp: 25C, Humidity: 42%
2024-08-28 08:44:19, Temp: 25C, Humidity: 43%
2024-08-28 08:44:21, Temp: 25C, Humidity: 43%
2024-08-28 08:44:24, Temp: 25C, Humidity: 44%
2024-08-28 08:44:26, Temp: 25C, Humidity: 44%
2024-08-28 08:44:28, Temp: 25C, Humidity: 44%
2024-08-28 08:44:31, Temp: 25C, Humidity: 44%
2024-08-28 08:44:33, Temp: 25C, Humidity: 44%
2024-08-28 08:44:36, Temp: 25C, Humidity: 44%
2024-08-28 08:44:38, Temp: 25C, Humidity: 44%
2024-08-28 08:44:41, Temp: 25C, Humidity: 44%
2024-08-28 08:44:44, Temp: 25C, Humidity: 44%
2024-08-28 08:44:46, Temp: 25C, Humidity: 43%
2024-08-28 08:44:49, Temp: 25C, Humidity: 44%
2024-08-28 08:44:51, Temp: 24C, Humidity: 44%
2024-08-28 08:44:53, Temp: 24C, Humidity: 44%
2024-08-28 09:26:04, Temp: 24C, Humidity: 39%
2024-08-28 09:26:07, Temp: 24C, Humidity: 41%
2024-08-28 09:26:09, Temp: 24C, Humidity: 41%
2024-08-28 09:26:12, Temp: 24C, Humidity: 40%
2024-08-28 09:27:17, Temp: 24C, Humidity: 40%
2024-08-28 09:27:19, Temp: 24C, Humidity: 40%
2024-08-28 09:27:22, Temp: 24C, Humidity: 40%
2024-08-28 09:27:24, Temp: 24C, Humidity: 40%
2024-08-28 09:27:27, Temp: 24C, Humidity: 40%
2024-08-28 09:27:29, Temp: 24C, Humidity: 40%
2024-08-28 09:27:31, Temp: 24C, Humidity: 43%
2024-08-28 09:27:34, Temp: 24C, Humidity: 46%
2024-08-28 09:27:36, Temp: 24C, Humidity: 49%
2024-08-28 09:27:39, Temp: 24C, Humidity: 53%
2024-08-28 09:27:41, Temp: 24C, Humidity: 57%
2024-08-28 09:27:44, Temp: 24C, Humidity: 61%
2024-08-28 09:27:46, Temp: 25C, Humidity: 64%
2024-08-28 09:27:48, Temp: 25C, Humidity: 66%
2024-08-28 09:27:51, Temp: 25C, Humidity: 69%
2024-08-28 09:27:53, Temp: 25C, Humidity: 69%
2024-08-28 09:27:56, Temp: 25C, Humidity: 71%
2024-08-28 09:27:58, Temp: 26C, Humidity: 71%
2024-08-28 09:28:00, Temp: 26C, Humidity: 70%
2024-08-28 09:28:03, Temp: 26C, Humidity: 69%
2024-08-28 09:28:05, Temp: 26C, Humidity: 67%
2024-08-28 09:28:08, Temp: 26C, Humidity: 64%
2024-08-28 09:28:10, Temp: 26C, Humidity: 62%
2024-08-28 09:28:13, Temp: 26C, Humidity: 59%
2024-08-28 09:28:15, Temp: 26C, Humidity: 58%
2024-08-28 09:28:17, Temp: 26C, Humidity: 55%
2024-08-28 09:28:20, Temp: 26C, Humidity: 54%
2024-08-28 09:28:22, Temp: 26C, Humidity: 52%
2024-08-28 09:29:43, Temp: 26C, Humidity: 51%
2024-08-28 09:29:45, Temp: 25C, Humidity: 43%
2024-08-28 09:31:20, Temp: 25C, Humidity: 43%
2024-08-28 09:31:23, Temp: 24C, Humidity: 42%
2024-08-28 09:31:25, Temp: 24C, Humidity: 42%
2024-08-28 09:31:28, Temp: 24C, Humidity: 42%
2024-08-28 09:31:30, Temp: 24C, Humidity: 42%
